event_id,occurred_at,user_id,event_type,properties_json
25a4b866-040b-466f-945c-148e4720f511,2025-08-21T06:52:34+03:00,1,view_item,"{""country"":""PL"",""session_id"":""5ef18783"",""item_id"":""SKU6991"",""price"":118.64,""currency"":""USD""}"
7b5ed1eb-83df-4255-a283-87fd4140b95e,2025-08-03T13:04:15+03:00,2,login,"{""country"":""PL"",""session_id"":""533e684a"",""method"":""apple""}"
6e562266-b131-4fa7-a118-d156cc427dd9,2025-08-08T15:37:03+03:00,18,app_open,"{""country"":""SE"",""session_id"":""787818bd"",""app_version"":""1.9.6"",""os"":""iOS""}"
1eed09e8-01cd-4f5b-881f-7b9ec9b6dc62,2025-08-28T08:26:09+03:00,1,logout,"{""country"":""NL"",""session_id"":""fa17a4bc"",""method"":""password""}"
828fd8ad-347c-4703-825f-364158a85a70,2025-08-22T09:37:36+03:00,17,add_to_cart,"{""country"":""RO"",""session_id"":""07194321"",""item_id"":""SKU4078"",""qty"":2}"
e6021abb-26bf-46b2-9b3b-db8d762a7b28,2025-08-19T06:13:31+03:00,55,app_open,"{""country"":""RO"",""session_id"":""070da4c1"",""app_version"":""1.8.6"",""os"":""Android""}"
bad55a8d-3bba-48fd-bc1c-c8925cfdb19c,2025-08-12T11:50:11+03:00,365,view_item,"{""country"":""KZ"",""session_id"":""8ade81e8"",""item_id"":""SKU4999"",""price"":20.96,""currency"":""USD""}"
5ad8272a-fbcf-4145-8bac-2010fdb57c63,2025-08-11T17:18:38+03:00,11,view_item,"{""country"":""PL"",""session_id"":""89db09f7"",""item_id"":""SKU2934"",""price"":104.83,""currency"":""USD""}"
fc2577c9-6cf9-4efc-86fd-463f091f8517,2025-08-30T13:02:42+03:00,4,app_open,"{""country"":""PL"",""session_id"":""6bed83c2"",""app_version"":""1.8.9"",""os"":""Android""}"
010ff44e-0d66-4f00-891c-79fba148a0f1,2025-08-16T14:29:04+03:00,4,view_item,"{""country"":""PL"",""session_id"":""7cec9131"",""item_id"":""SKU5422"",""price"":97.45,""currency"":""USD""}"
6a79e053-367f-46a8-8f0f-062bff9425bb,2025-08-23T11:36:43+03:00,1,add_to_cart,"{""country"":""IT"",""session_id"":""87cf2e78"",""item_id"":""SKU5662"",""qty"":3}"
717f914a-d45a-4b39-8834-de2aef8a2591,2025-08-01T20:22:10+03:00,39,view_item,"{""country"":""SE"",""session_id"":""d955e18b"",""item_id"":""SKU2918"",""price"":101.27,""currency"":""USD""}"
c287cb26-bc43-472b-99a6-2d4472a55ee7,2025-08-24T10:25:58+03:00,3,app_open,"{""country"":""IT"",""session_id"":""4560af6c"",""app_version"":""1.1.2"",""os"":""Android""}"
02ca60ef-2872-49c0-bca8-f05e50f88d6f,2025-08-05T18:55:35+03:00,3,view_item,"{""country"":""GB"",""session_id"":""06eefcbc"",""item_id"":""SKU7804"",""price"":197.36,""currency"":""USD""}"
13261d7a-eb9f-4103-b03c-f9d5d0fe14c7,2025-08-08T09:11:09+03:00,5,purchase,"{""country"":""US"",""session_id"":""adc6cd4a"",""order_id"":""d6344d3c-2e08-4c29-a9f9-182173de3666"",""amount"":132.26,""currency"":""USD"",""payment_method"":""paypal"",""items"":2}"
21f9e4f9-f242-4f86-94f1-6703f13a86be,2025-08-14T14:39:36+03:00,1,app_open,"{""country"":""FR"",""session_id"":""64844acf"",""app_version"":""1.2.8"",""os"":""Web""}"
c187a9ba-7245-4b4b-9a55-dbcae3cdb35f,2025-08-15T19:49:55+03:00,69,add_to_cart,"{""country"":""RO"",""session_id"":""ed1b07bc"",""item_id"":""SKU7428"",""qty"":2}"
770dd9f6-60d9-47ec-84f0-2e5afccfe18a,2025-08-21T12:12:04+03:00,1,view_item,"{""country"":""US"",""session_id"":""6b6218d0"",""item_id"":""SKU8219"",""price"":36.65,""currency"":""USD""}"
df6dcb04-6b8b-48b2-8e89-66bea5887682,2025-08-01T14:34:06+03:00,1,view_item,"{""country"":""FR"",""session_id"":""76fa07f6"",""item_id"":""SKU1417"",""price"":18.71,""currency"":""USD""}"
3bd14e43-40ad-4668-bba2-ab091032dd31,2025-08-21T10:22:38+03:00,5,app_open,"{""country"":""FR"",""session_id"":""ae80f682"",""app_version"":""1.7.1"",""os"":""iOS""}"
dba10aed-8295-4547-8aef-126d2365c89f,2025-08-15T13:19:05+03:00,744,message_sent,"{""country"":""DE"",""session_id"":""beb9ef25"",""length"":53,""channel"":""channel""}"
9720f953-41d5-4c93-a2bf-16ee9ec7444c,2025-08-27T16:33:01+03:00,2,view_item,"{""country"":""US"",""session_id"":""5396ea08"",""item_id"":""SKU9654"",""price"":75.54,""currency"":""USD""}"
1299ea21-0220-4fe1-a320-d06401d50bfc,2025-08-25T14:41:55+03:00,334,purchase,"{""country"":""PL"",""session_id"":""1001eea0"",""order_id"":""e93bbb65-5cef-4d9e-8f51-d1ffd0e47a1c"",""amount"":273.44,""currency"":""USD"",""payment_method"":""paypal"",""items"":3}"
dc6c6a4e-1fcd-4648-8e79-2e5a1fee4ebd,2025-08-11T15:39:51+03:00,97,view_item,"{""country"":""US"",""session_id"":""bcaf36fa"",""item_id"":""SKU4922"",""price"":164.57,""currency"":""USD""}"
9026f956-9fa5-444d-891b-62882fdea751,2025-08-17T13:46:01+03:00,2,message_sent,"{""country"":""UA"",""session_id"":""c6d834f9"",""length"":405,""channel"":""group""}"
d89e12f9-c411-42e1-bd82-390fa4079a49,2025-08-20T21:28:51+03:00,2,view_item,"{""country"":""KZ"",""session_id"":""be083873"",""item_id"":""SKU6726"",""price"":191.23,""currency"":""USD""}"
446cd629-6268-4aa7-8c58-0978201d5d10,2025-08-08T13:21:13+03:00,2,view_item,"{""country"":""IT"",""session_id"":""0a2e5753"",""item_id"":""SKU1031"",""price"":98.5,""currency"":""USD""}"
9b7fa87d-e992-4d5d-bb80-547ddd5212bd,2025-08-03T18:07:58+03:00,116,add_to_cart,"{""country"":""ES"",""session_id"":""b3b041ad"",""item_id"":""SKU4265"",""qty"":2}"
